name,date,val2024_all,val2024_R,val2024_F,val2022_all,val2022_R,val2022_F,baseline,verdict,public,note
FSPEC_r2_cb_f_prev,2026-08-27,130.4,123.3,-145.2,62.0,-135.6,-16085.4,S1_base,기각,,[실험기록·단독BSS] 정직한 블렌드 Δ +2.6 | [축8] | rows=F_prev | 블렌드 Δ+2.9 (자체적합) | ρ(cb)=0.3365 | 라운드2 — F 전용 하이퍼 탐색 + 최근성 대조군
FSPEC_r2_cb_prev1,2026-08-27,59.7,187.3,-1224.4,1865.9,391.1,-2934.6,S1_base,기각,,[실험기록·단독BSS] 정직한 블렌드 Δ +0.1 | [축8] | rows=prev1 | 블렌드 Δ+2.8 (자체적합) | ρ(cb)=0.3382 | 라운드2 — F 전용 하이퍼 탐색 + 최근성 대조군
DIST_r1_D0,2026-08-27,713.5,812.1,-351.5,2348.7,592.5,63.8,sj_cb_ft_fonly,기각,,"[실험기록·단독BSS] 정직한 블렌드 Δ -2.1 | [축4] 증류 | **정직한 Δ -2.1** (fit 2022·R -> eval 2024, 채택안 cb+ft+cb_f_only=887.7 위) | kind=hard | ρ(cb)=0.8961 "
DIST_r1_D1_50,2026-08-27,539.1,755.3,-1408.1,2402.4,659.9,8.1,sj_cb_ft_fonly,기각,,"[실험기록·단독BSS] 정직한 블렌드 Δ -16.2 | [축4] 증류 | **정직한 Δ -16.2** (fit 2022·R -> eval 2024, 채택안 cb+ft+cb_f_only=887.7 위) | kind=soft lam=0.5 | ρ(cb)=0.8075 "
DIST_r1_D2,2026-08-27,774.6,831.4,22.9,2353.7,598.4,62.0,sj_cb_ft_fonly,기각,,"[실험기록·단독BSS] 정직한 블렌드 Δ -0.1 | [축4] 증류 | **정직한 Δ -0.1** (fit 2022·R -> eval 2024, 채택안 cb+ft+cb_f_only=887.7 위) | kind=feature | ρ(cb)=0.9192 "
DIST_r1_D3,2026-08-27,492.6,605.8,-682.3,2235.5,582.8,-962.9,sj_cb_ft_fonly,기각,,"[실험기록·단독BSS] 정직한 블렌드 Δ -0.4 | [축4] 증류 | **정직한 Δ -0.4** (fit 2022·R -> eval 2024, 채택안 cb+ft+cb_f_only=887.7 위) | kind=residual | ρ(cb)=0.7153  | 30.1 이 '이 arm 이 본선' 이라 지목했으나 폴드마다 다른 모델이 된다 (rho 0.7153 vs 0.9506)"
DIST_r1_D4_10,2026-08-27,-11.1,-20.2,-271.8,-28.1,-270.5,-15804.4,sj_cb_ft_fonly,기각,,"[실험기록·단독BSS] 정직한 블렌드 Δ -0.1 | [축4] 증류 | **정직한 Δ -0.1** (fit 2022·R -> eval 2024, 채택안 cb+ft+cb_f_only=887.7 위) | kind=anti gamma=0.1 | ρ(cb)=-0.5300  | ★자체적합 +1.5 는 발산이었다 — fold2024 가중치 +2.887 vs fold2022 −9.162 로 부호가 뒤집힌다. 신호 없는 멤버(단독 −11.1)에 |w|>2 가 붙는 것은 최소제곱이 큰 차분으로 공통오차를 상쇄하는 패턴이고 전이되지 않는다"
DIST_r1_D4_30,2026-08-27,-15.5,-26.0,-265.0,-42.0,-277.8,-15877.5,sj_cb_ft_fonly,기각,,"[실험기록·단독BSS] 정직한 블렌드 Δ -0.1 | [축4] 증류 | **정직한 Δ -0.1** (fit 2022·R -> eval 2024, 채택안 cb+ft+cb_f_only=887.7 위) | kind=anti gamma=0.3 | ρ(cb)=-0.5242  | ★자체적합 +1.5 는 발산이었다 — fold2024 가중치 +2.887 vs fold2022 −9.162 로 부호가 뒤집힌다. 신호 없는 멤버(단독 −11.1)에 |w|>2 가 붙는 것은 최소제곱이 큰 차분으로 공통오차를 상쇄하는 패턴이고 전이되지 않는다"
cw_v17_base,2026-08-25,821.0,842.6,332.9,2498.5,754.0,139.8,,미판정,983,"[팀원 cw] submit_v17_base.zip Public 983 단독 / sj 결합 1072.865. 168피처 CB(RMSE)+FT+MLP, 리더보드 유래 상수 0개. ★sj 현행과 ρ0.9892 (sj 가 v17 스택을 동결해 써서 사실상 같은 모델) -> 2-way 결합 이득 0.00. 정직 전이 fit(2022)->eval(2024) -35.6. 2022 는 sj 보다 +17.0 (F +76.5) 로 앞선다"
hw_v12,2026-08-24,808.9,791.3,614.8,,,,,미판정,912.1253278902,"[팀원 hw] submit_v12.zip 2026-08-24. 57피처 CatBoost 16시드, hand 범주형 + handedness_matchup. hw 자체보고 808.89 와 여기 재측정 808.9 가 일치 — 공유 예측이 실제 v12 배포구성임을 확인. ★2024 F 614.8 로 팀 최고 (sj 최고 F전문가 cb_f_only 448.0 대비 +166.8) — F 는 피처를 줄이는 쪽이 맞다는 신호. sj 와 ρ0.9076, 2-way 자체적합 +12.3. val2022 미측정 — 규칙 1 비하락 관문·결합층 정직 전이 판정 모두 미적용"
yn_fa10c,2026-08-19,815.6,815.0,494.3,,,,,미판정,964.2538081998,"[팀원 yn] submit_fa10c.zip 2026-08-19. 71피처(68+1군/2군 오염보정 3), CatBoost 20시드 x2계열 + LGB 20시드, isotonic->clip(0,0.80). 여기 815.6 은 combine 규격 raw 판이고 배포구성은 yn 자체보고 880.79 — 두 숫자를 섞지 않는다. ★sj·cw 양쪽과 가장 덜 닮은 멤버(ρ0.8949/0.8800), sj 2-way 자체적합 +18.2 로 팀 최대. late(8-10) 537.3 팀 최고. hw 와는 ρ0.9523 이라 택일. val2022 미측정 + ★학습코드 없음(RULES §7 재현 불가) — models/yn_fa10c/MISSING.md"
GRID_idfreq_g_d4_l10k,2026-08-27,898.1,916.8,432.3,2483.0,737.0,133.3,S1_base,동률,,"[축CB격자] | depth=4 l2_leaf_reg=10000.0 | 블렌드 Δ+12.7 (자체적합) | ρ(cb)=0.9909 | §29.2 조건부 재탐색(id_freq 로 176 피처). ★판정은 이 행의 4멤버 자체적합이 아니라 실제 cw 모듈(새cb+ft+mlp, 제출2 내부가중 고정)로 따로 쟀다 — d6_l10k val2024 898.8->903.0/val2022 2490.1->2490.2 관문통과, d6_l3k 는 2024 +8.9 지만 2022 -7.9 로 관문탈락"
GRID_idfreq_g_d4_l30k,2026-08-27,891.8,910.2,428.7,2485.8,738.6,147.6,S1_base,기각,,"[축CB격자] | depth=4 l2_leaf_reg=30000.0 | 블렌드 Δ+6.5 (자체적합) | ρ(cb)=0.9897 | §29.2 조건부 재탐색(id_freq 로 176 피처). ★판정은 이 행의 4멤버 자체적합이 아니라 실제 cw 모듈(새cb+ft+mlp, 제출2 내부가중 고정)로 따로 쟀다 — d6_l10k val2024 898.8->903.0/val2022 2490.1->2490.2 관문통과, d6_l3k 는 2024 +8.9 지만 2022 -7.9 로 관문탈락"
GRID_idfreq_g_d4_l3k,2026-08-27,899.3,917.0,441.0,2481.7,735.9,130.8,S1_base,동률,,"[축CB격자] | depth=4 l2_leaf_reg=3000.0 | 블렌드 Δ+14.0 (자체적합) | ρ(cb)=0.9887 | §29.2 조건부 재탐색(id_freq 로 176 피처). ★판정은 이 행의 4멤버 자체적합이 아니라 실제 cw 모듈(새cb+ft+mlp, 제출2 내부가중 고정)로 따로 쟀다 — d6_l10k val2024 898.8->903.0/val2022 2490.1->2490.2 관문통과, d6_l3k 는 2024 +8.9 지만 2022 -7.9 로 관문탈락"
GRID_idfreq_g_d5_l10k,2026-08-27,902.0,918.8,450.2,2488.1,740.8,150.4,S1_base,동률,,"[축CB격자] | depth=5 l2_leaf_reg=10000.0 | 블렌드 Δ+16.7 (자체적합) | ρ(cb)=0.9895 | §29.2 조건부 재탐색(id_freq 로 176 피처). ★판정은 이 행의 4멤버 자체적합이 아니라 실제 cw 모듈(새cb+ft+mlp, 제출2 내부가중 고정)로 따로 쟀다 — d6_l10k val2024 898.8->903.0/val2022 2490.1->2490.2 관문통과, d6_l3k 는 2024 +8.9 지만 2022 -7.9 로 관문탈락"
GRID_idfreq_g_d5_l30k,2026-08-27,897.0,915.4,433.7,2487.2,739.0,158.7,S1_base,동률,,"[축CB격자] | depth=5 l2_leaf_reg=30000.0 | 블렌드 Δ+11.7 (자체적합) | ρ(cb)=0.9852 | §29.2 조건부 재탐색(id_freq 로 176 피처). ★판정은 이 행의 4멤버 자체적합이 아니라 실제 cw 모듈(새cb+ft+mlp, 제출2 내부가중 고정)로 따로 쟀다 — d6_l10k val2024 898.8->903.0/val2022 2490.1->2490.2 관문통과, d6_l3k 는 2024 +8.9 지만 2022 -7.9 로 관문탈락"
GRID_idfreq_g_d5_l3k,2026-08-27,905.9,920.6,470.5,2483.7,737.3,138.5,S1_base,동률,,"[축CB격자] | depth=5 l2_leaf_reg=3000.0 | 블렌드 Δ+20.6 (자체적합) | ρ(cb)=0.9876 | §29.2 조건부 재탐색(id_freq 로 176 피처). ★판정은 이 행의 4멤버 자체적합이 아니라 실제 cw 모듈(새cb+ft+mlp, 제출2 내부가중 고정)로 따로 쟀다 — d6_l10k val2024 898.8->903.0/val2022 2490.1->2490.2 관문통과, d6_l3k 는 2024 +8.9 지만 2022 -7.9 로 관문탈락"
GRID_idfreq_g_d6_l10k,2026-08-27,905.8,921.4,463.1,2488.2,740.3,156.8,S1_base,동률,,"[축CB격자] | depth=6 l2_leaf_reg=10000.0 | 블렌드 Δ+20.5 (자체적합) | ρ(cb)=0.9849 | §29.2 조건부 재탐색(id_freq 로 176 피처). ★판정은 이 행의 4멤버 자체적합이 아니라 실제 cw 모듈(새cb+ft+mlp, 제출2 내부가중 고정)로 따로 쟀다 — d6_l10k val2024 898.8->903.0/val2022 2490.1->2490.2 관문통과, d6_l3k 는 2024 +8.9 지만 2022 -7.9 로 관문탈락"
GRID_idfreq_g_d6_l30k,2026-08-27,899.1,916.3,445.2,2489.0,740.7,161.3,S1_base,동률,,"[축CB격자] | depth=6 l2_leaf_reg=30000.0 | 블렌드 Δ+13.8 (자체적합) | ρ(cb)=0.9801 | §29.2 조건부 재탐색(id_freq 로 176 피처). ★판정은 이 행의 4멤버 자체적합이 아니라 실제 cw 모듈(새cb+ft+mlp, 제출2 내부가중 고정)로 따로 쟀다 — d6_l10k val2024 898.8->903.0/val2022 2490.1->2490.2 관문통과, d6_l3k 는 2024 +8.9 지만 2022 -7.9 로 관문탈락"
GRID_idfreq_g_d6_l3k,2026-08-27,910.2,923.9,481.5,2484.4,738.1,138.6,S1_base,채택,,"[축CB격자] | depth=6 l2_leaf_reg=3000.0 | 블렌드 Δ+24.8 (자체적합) | ρ(cb)=0.9844 | §29.2 조건부 재탐색(id_freq 로 176 피처). ★판정은 이 행의 4멤버 자체적합이 아니라 실제 cw 모듈(새cb+ft+mlp, 제출2 내부가중 고정)로 따로 쟀다 — d6_l10k val2024 898.8->903.0/val2022 2490.1->2490.2 관문통과, d6_l3k 는 2024 +8.9 지만 2022 -7.9 로 관문탈락"
sj_grid_w060,2026-08-27,903.0,,,2490.2,,,sj_idfreq_w,채택,,"[sj_final] 오늘 최종본. cb depth 5->6 (§29.2 조건부 재탐색 발동 — id_freq 로 176 피처가 되어 CB 최적점 이동). 9설정x3짝시드x2폴드 16.4분. ★두 폴드가 반대 방향을 원한다: 2024 는 깊고 약한 규제, 2022 는 강한 규제(구조 단절 이전). 2024 주판정+2022 비하락으로 d6_l10k 채택 (2024 +4.2 / 2022 +0.0). d6_l3k 는 2024 +8.9 지만 2022 -7.9 관문탈락. 내부가중 재적합은 불필요(새 w .698/.227/.080 이 제출2 .710/.236/.069 와 동등, 2024 에서 -1.1). 팀가중 w_cw .60/.40 합=1 shift 0 — 월전방분할 정방향 726.6->729.2, 역방향 1051.7->1055.5 양방향 개선. cb 추론 88.7->105.2초(+18.6%), 최악가정 460/600초"
sj_teamblend_yn,2026-08-27,,,,,,,sj_cw_sj3way,기각,,"[sj_final] yn 을 3번째 팀 멤버로 편입 — 기각. yn 은 내 cw스택과 ρ0.8949 로 탈상관이지만 ★sj3way 와는 ρ0.9572 다. 실제 구조(cw+sj3way) 위에 얹으면 월전방분할 정직 +0.3 / 등가중 -5.9. 챔피언 script.py docstring 의 'hw,yn 은 정보 중복' 판단이 맞았다. 교훈: 비교 대상 멤버를 틀리면 결론이 뒤집힌다"
sj_bucket_blend,2026-08-27,,,,,,,sj_single_w,기각,,[sj_final] 구간별 결합가중 12축(볼카운트/game_type/투구표본수/이닝/점수차/주자/아웃). 볼카운트 balls 0-3 이 정방향 +4.1 로 최고였으나 ★역방향 -2.0 으로 기각. 전역 w 로 λ=0.3 수축하면 양방향 +1.5/+1.2 로 생존하나 이득이 작고 결합부가 asof_pitcher_n 하드코딩이라 미채택. 투구표본수 축 ~0 은 챔피언 작성자 보고와 일치. 점수차 -8.8 로 최악
sj_teamw_sum1,2026-08-27,,,,,,,sj_idfreq_w,채택,,"[sj_final] 팀 결합가중 합=1 제약. ★하네스 리더보드 검증: 제출3(w_cw .5/w_sj .6433, 합1.143)의 Δval -6.1 예측 -> 실제 1076.72->1070 (-6.7). 전이율 1.1 (같은 모델의 가중만 바꾸면 손실 없이 전이). 기전은 분산 — center_shift 는 평균만 맞출 뿐 합≠1 의 분산 팽창을 못 되돌린다. 합을 풀어준 2차원 자유적합은 같은 분할에서 -24.8 로 붕괴. 계기: val2024 를 월3~6 적합 -> 월7~10 평가 + 역방향"
